     77 x[78,1]               120                       0
     78 x[79,1]               120                       0
    134 x[135,1]               95                       0
    136 x[137,1]              120                       0
    137 x[138,1]               25                       0
    139 x[140,1]               95                       0
    140 x[141,1]               95                       0
    324 x[325,1]               25                       0
    325 x[326,1]               25                       0
    326 x[327,1]               25                       0
    327 x[328,1]               25                       0
    329 x[330,1]               25                       0
    330 x[331,1]               25                       0
    331 x[332,1]               25                       0
